n,surface,freq,harmony,final_class,reason
326,тиіп,88,front,voiceless_consonant,pure-cyrillic-short-high-freq
327,элементтер,88,front,liquid,pure-cyrillic-short-high-freq
330,ояту,87,back,vowel,pure-cyrillic-short-high-freq
333,аргентина,86,mixed,vowel,pure-cyrillic-short-high-freq
334,бғм,86,unknown (no vowels),nasal,pure-cyrillic-short-high-freq
335,жабылып,86,back,voiceless_consonant,pure-cyrillic-short-high-freq
336,жетпей,86,front,glide,pure-cyrillic-short-high-freq
337,кабинет,86,mixed,voiceless_consonant,pure-cyrillic-short-high-freq
338,хоккей,86,mixed,glide,pure-cyrillic-short-high-freq
339,армян,85,back,nasal,pure-cyrillic-short-high-freq
340,артта,85,back,vowel,pure-cyrillic-short-high-freq
341,египет,85,front,voiceless_consonant,pure-cyrillic-short-high-freq
342,нназарбаев,85,mixed,voiced_consonant,pure-cyrillic-short-high-freq
343,тяньшань,85,back,voiced_consonant,pure-cyrillic-short-high-freq
344,хал,85,back,liquid,pure-cyrillic-short-high-freq
345,дмитрий,84,neutral (only и/у/ю — needs context),glide,pure-cyrillic-short-high-freq
346,жатқа,84,back,vowel,pure-cyrillic-short-high-freq
347,мден,84,front,nasal,pure-cyrillic-short-high-freq
348,театрында,84,mixed,vowel,pure-cyrillic-short-high-freq
350,димаш,83,back,voiceless_consonant,pure-cyrillic-short-high-freq
352,израиль,83,back,voiced_consonant,pure-cyrillic-short-high-freq
354,сипатын,83,back,nasal,pure-cyrillic-short-high-freq
355,славян,83,back,nasal,pure-cyrillic-short-high-freq
356,элемент,83,front,voiceless_consonant,pure-cyrillic-short-high-freq
357,кореяның,82,mixed,nasal,pure-cyrillic-short-high-freq
359,рейтинг,82,front,voiced_consonant,pure-cyrillic-short-high-freq
360,талдаңдар,82,back,liquid,pure-cyrillic-short-high-freq
361,түсін,82,front,nasal,pure-cyrillic-short-high-freq
362,жауабын,81,back,nasal,pure-cyrillic-short-high-freq
363,техас,81,mixed,voiceless_consonant,pure-cyrillic-short-high-freq
364,украин,81,back,nasal,pure-cyrillic-short-high-freq
365,былтыр,80,back,liquid,pure-cyrillic-short-high-freq
366,градус,80,back,voiceless_consonant,pure-cyrillic-short-high-freq
367,зеландия,80,mixed,unknown,pure-cyrillic-short-high-freq
368,ленинград,80,mixed,voiced_consonant,pure-cyrillic-short-high-freq
369,орнады,80,back,vowel,pure-cyrillic-short-high-freq
371,австралия,79,back,unknown,pure-cyrillic-short-high-freq
372,аустрия,79,back,unknown,pure-cyrillic-short-high-freq
373,жомарт,79,back,voiceless_consonant,pure-cyrillic-short-high-freq
374,концерт,79,mixed,voiceless_consonant,pure-cyrillic-short-high-freq
375,нидерланд,79,mixed,voiced_consonant,pure-cyrillic-short-high-freq
376,оңтайлы,79,back,vowel,pure-cyrillic-short-high-freq
378,францияның,79,back,nasal,pure-cyrillic-short-high-freq
379,ххі,79,front,vowel,pure-cyrillic-short-high-freq
381,шектен,79,front,nasal,pure-cyrillic-short-high-freq
382,жайылым,78,back,nasal,pure-cyrillic-short-high-freq
383,жетпейді,78,front,vowel,pure-cyrillic-short-high-freq
385,салдары,78,back,vowel,pure-cyrillic-short-high-freq
387,тимур,78,neutral (only и/у/ю — needs context),liquid,pure-cyrillic-short-high-freq
390,жабылды,77,back,vowel,pure-cyrillic-short-high-freq
391,жауы,77,back,vowel,pure-cyrillic-short-high-freq
392,жоспарлы,77,back,vowel,pure-cyrillic-short-high-freq
393,формула,77,back,vowel,pure-cyrillic-short-high-freq
394,комсомол,76,back,liquid,pure-cyrillic-short-high-freq
395,соғұрлым,76,back,nasal,pure-cyrillic-short-high-freq
396,академия,75,mixed,unknown,pure-cyrillic-short-high-freq
397,американ,75,mixed,nasal,pure-cyrillic-short-high-freq
398,ақның,75,back,nasal,pure-cyrillic-short-high-freq
399,емтихан,75,mixed,nasal,pure-cyrillic-short-high-freq
400,нормаларын,75,back,nasal,pure-cyrillic-short-high-freq
402,тиген,75,front,nasal,pure-cyrillic-short-high-freq
403,форум,75,back,nasal,pure-cyrillic-short-high-freq
404,шектелген,75,front,nasal,pure-cyrillic-short-high-freq
405,нақ,74,back,voiceless_consonant,pure-cyrillic-short-high-freq
406,орнықты,74,back,vowel,pure-cyrillic-short-high-freq
407,оңалту,74,back,vowel,pure-cyrillic-short-high-freq
408,қрның,74,back,nasal,pure-cyrillic-short-high-freq
409,импорт,73,back,voiceless_consonant,pure-cyrillic-short-high-freq
410,интеллект,73,front,voiceless_consonant,pure-cyrillic-short-high-freq
411,кмден,73,front,nasal,pure-cyrillic-short-high-freq
413,оқиғаны,73,back,vowel,pure-cyrillic-short-high-freq
415,салмағ,73,back,voiced_consonant,pure-cyrillic-short-high-freq
416,хадис,73,back,voiceless_consonant,pure-cyrillic-short-high-freq
417,колумб,72,back,voiced_consonant,pure-cyrillic-short-high-freq
418,лады,72,back,vowel,pure-cyrillic-short-high-freq
419,оқиғаларды,72,back,vowel,pure-cyrillic-short-high-freq
420,пушкин,72,neutral (only и/у/ю — needs context),nasal,pure-cyrillic-short-high-freq
421,смге,72,front,vowel,pure-cyrillic-short-high-freq
422,тренинг,72,front,voiced_consonant,pure-cyrillic-short-high-freq
423,жатпайтын,71,back,nasal,pure-cyrillic-short-high-freq
424,жақтың,71,back,nasal,pure-cyrillic-short-high-freq
